# Sparvio 1.5.0 log file. Logging started at 12:51:02.973 UTC.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.008
# C (id=3): 
#   Serial number; 1851030050
#   App and version; 18; 2.007

Time (UTC); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh; SKH1_70727633.lat; SKH1_70727633.lon; SKH1_70727633.alt; C.wspd; C.wdir; C.windU; C.windV; C.windW; C.temp; C.rh; C.pr; C.pitch; C.roll; C.heading
12:51:02.973; 100284; 7.4; 32.12; 40.03; 45.510326; 9.211955; 200.4; 0.16; 7; -0.01; -0.1; -0.13; 28.04; 51.0; 100458; 13.2; -5.7; 0
12:51:03.101; ; ; ; ; ; ; ; 0.15; 347; 0.02; -0.07; -0.13; 28.09; 51.0; 100457; 12.4; -4.9; 0
12:51:03.286; 100286; 7.389; 32.12; 39.65; 45.510341; 9.212005; 198.8; 0.16; 352; 0.01; -0.11; -0.11; 28.04; 51.3; 100457; 9.9; 0.2; 0
12:51:03.487; ; ; ; ; ; ; ; 0.19; 2; 0.0; -0.14; -0.13; 28.08; 51.2; 100458; 6.5; 8.5; 0
12:51:03.685; ; ; ; ; ; ; ; 0.16; 357; 0.01; -0.11; -0.12; 28.03; 51.5; 100457; 5.9; 7.6; 0
12:51:03.885; ; ; ; ; ; ; ; 0.16; 6; -0.01; -0.08; -0.14; 28.02; 51.7; 100455; 5.9; 7.6; 0
12:51:04.085; ; ; ; ; ; ; ; 0.15; 6; -0.01; -0.11; -0.1; 28.06; 51.8; 100458; 6.9; 6.8; 0
12:51:04.285; 100285; 7.328; 32.15; 39.3; 45.510373; 9.212008; 194.8; 0.17; 2; -0.01; -0.13; -0.11; 28.07; 51.9; 100458; 7.2; 6.5; 0
12:51:04.485; ; ; ; ; ; ; ; 0.18; 10; -0.02; -0.14; -0.1; 28.03; 52.0; 100458; 7.3; 6.7; 0
12:51:04.684; ; ; ; ; ; ; ; 0.18; 358; 0.0; -0.14; -0.11; 27.87; 52.6; 100458; 7.5; 6.6; 0
12:51:04.884; ; ; ; ; ; ; ; 0.15; 6; -0.01; -0.13; -0.09; 27.73; 53.2; 100458; 7.4; 6.8; 0
12:51:05.084; ; ; ; ; ; ; ; 0.2; 5; -0.02; -0.17; -0.12; 27.74; 53.3; 100457; 7.1; 7.0; 0
12:51:05.284; 100285; 7.356; 32.14; 39.05; 45.51038; 9.212036; 198.0; 0.25; 352; 0.03; -0.22; -0.13; 28.0; 52.7; 100457; 5.5; 5.5; 0
12:51:05.486; ; ; ; ; ; ; ; 0.18; 355; 0.01; -0.14; -0.12; 28.04; 52.7; 100457; 0.6; 5.4; 0
12:51:05.684; ; ; ; ; ; ; ; 0.1; 214; 0.01; 0.02; -0.1; 28.11; 52.6; 100457; 3.7; -2.4; 0
12:51:05.884; ; ; ; ; ; ; ; 0.13; 312; 0.06; -0.05; -0.11; 28.0; 53.0; 100456; 0.8; 4.1; 0
12:51:06.084; ; ; ; ; ; ; ; 0.19; 352; 0.01; -0.1; -0.17; 27.77; 53.9; 100455; 1.0; 6.4; 0
12:51:06.284; 100286; 7.323; 32.15; 38.8; 45.510381; 9.212085; 201.9; 0.28; 359; 0.0; -0.15; -0.24; 27.68; 54.3; 100455; -0.8; 9.2; 0
12:51:06.484; ; ; ; ; ; ; ; 0.16; 335; 0.05; -0.1; -0.12; 27.72; 54.3; 100456; -1.2; 8.8; 0
12:51:06.684; ; ; ; ; ; ; ; 0.14; 18; -0.03; -0.09; -0.1; 27.95; 53.7; 100456; -1.1; 9.4; 0
12:51:06.884; ; ; ; ; ; ; ; 0.18; 1; 0.0; -0.15; -0.11; 27.89; 54.0; 100456; -0.8; 7.8; 0
12:51:07.084; ; ; ; ; ; ; ; 0.27; 355; 0.02; -0.22; -0.16; 27.8; 54.4; 100455; -1.7; 6.6; 0
12:51:07.284; 100287; 7.322; 32.2; 39.47; 45.510381; 9.212123; 207.5; 0.28; 359; 0.01; -0.24; -0.15; 27.82; 54.3; 100455; -2.7; 5.6; 0
12:51:07.485; ; ; ; ; ; ; ; 0.26; 356; 0.02; -0.23; -0.1; 27.8; 54.5; 100456; -3.1; 1.8; 0
12:51:07.684; ; ; ; ; ; ; ; 0.25; 358; 0.01; -0.2; -0.14; 27.71; 55.0; 100456; -4.8; 2.8; 0
12:51:07.883; ; ; ; ; ; ; ; 0.16; 6; -0.01; -0.12; -0.11; 27.69; 55.1; 100455; -2.7; 2.1; 0
12:51:08.083; ; ; ; ; ; ; ; 0.2; 3; -0.01; -0.14; -0.14; 27.68; 55.2; 100457; -1.0; 1.7; 0
12:51:08.283; 100287; 7.343; 32.21; 42.31; 45.510431; 9.212053; 201.7; 0.18; 6; -0.02; -0.14; -0.12; 27.6; 55.6; 100456; -0.7; 1.6; 0
12:51:08.483; ; ; ; ; ; ; ; 0.21; 6; -0.02; -0.17; -0.12; 27.55; 55.9; 100456; 0.4; 1.3; 0
12:51:08.683; ; ; ; ; ; ; ; 0.21; 6; -0.02; -0.18; -0.1; 27.45; 56.2; 100454; 0.6; 1.7; 0
12:51:08.883; ; ; ; ; ; ; ; 0.26; 8; -0.03; -0.21; -0.15; 27.44; 56.3; 100455; 1.7; 2.7; 0
12:51:09.083; ; ; ; ; ; ; ; 0.27; 0; 0.0; -0.24; -0.13; 27.45; 56.3; 100453; 1.7; 4.9; 0
12:51:09.283; 100285; 7.336; 32.22; 43.48; 45.510548; 9.211915; 180.1; 0.27; 1; 0.0; -0.24; -0.13; 27.42; 56.6; 100454; 2.7; 4.5; 0
12:51:09.485; ; ; ; ; ; ; ; 0.31; 1; -0.01; -0.29; -0.1; 27.18; 57.3; 100455; 0.5; 2.7; 0
12:51:09.683; ; ; ; ; ; ; ; 0.29; 6; -0.02; -0.26; -0.13; 26.57; 59.5; 100455; 1.2; 5.4; 0
12:51:09.883; ; ; ; ; ; ; ; 0.31; 6; -0.03; -0.28; -0.13; 26.95; 58.2; 100456; 2.8; 5.0; 0
12:51:10.083; ; ; ; ; ; ; ; 0.4; 7; -0.05; -0.37; -0.12; 26.83; 58.6; 100452; -0.5; 3.7; 0
12:51:10.283; 100281; 7.336; 32.24; 42.81; 45.510573; 9.211905; 173.9; 0.34; 11; -0.06; -0.32; -0.1; 26.74; 59.0; 100454; 1.3; 2.8; 0
12:51:10.483; ; ; ; ; ; ; ; 0.53; 6; -0.04; -0.46; -0.26; 25.81; 62.3; 100452; -2.5; 0.0; 0
12:51:10.683; ; ; ; ; ; ; ; 0.6; 353; 0.07; -0.56; -0.22; 25.74; 62.7; 100453; -3.9; -2.6; 0
12:51:10.883; ; ; ; ; ; ; ; 0.8; 328; 0.42; -0.67; -0.11; 25.64; 63.1; 100454; -9.5; -2.7; 0
12:51:11.083; ; ; ; ; ; ; ; 0.53; 328; 0.27; -0.44; -0.11; 24.36; 68.2; 100454; -10.4; -2.5; 0
12:51:11.283; 100280; 7.37; 32.18; 41.8; 45.510561; 9.211873; 177.6; 0.66; 342; 0.19; -0.59; -0.21; 24.55; 67.5; 100453; -10.1; -3.8; 0
