# Sparvio 1.5.0 log file. Logging started at 07:25:20.871 UTC.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.008
# C (id=3): 
#   Serial number; 1851030050
#   App and version; 18; 2.007

Time (UTC); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh; C.wspd; C.wdir; C.windU; C.windV; C.windW; C.temp; C.rh; C.pr; C.pitch; C.roll; C.heading
07:25:20.871; 100283; 8.036; 27.42; 50.42; 0.18; 9; -0.03; -0.17; -0.07; 23.63; 60.0; 100459; 3.9; -2.0
07:25:20.975; 100282; 8.014; 27.42; 52.12; 0.17; 13; -0.03; -0.15; -0.07; 23.67; 59.9; 100458; 4.0; -2.0; 0
07:25:21.141; ; ; ; ; 0.16; 5; -0.01; -0.15; -0.07; 23.73; 59.6; 100459; 3.9; -2.0; 0
07:25:21.340; ; ; ; ; 0.16; 360; 0.0; -0.14; -0.08; 23.74; 59.5; 100459; 4.0; -2.0; 0
07:25:21.540; ; ; ; ; 0.17; 5; -0.01; -0.15; -0.08; 23.74; 59.6; 100459; 4.0; -1.9; 0
07:25:21.740; ; ; ; ; 0.15; 7; -0.02; -0.14; -0.07; 23.74; 59.7; 100457; 4.0; -1.8; 0
07:25:21.947; 100283; 8.04; 27.43; 51.76; 0.17; 3; -0.01; -0.15; -0.09; 23.74; 59.6; 100460; 4.2; -1.8; 0
07:25:22.140; ; ; ; ; 0.17; 1; 0.0; -0.15; -0.09; 23.73; 59.6; 100459; 3.9; -2.1; 0
07:25:22.340; ; ; ; ; 0.15; 3; -0.01; -0.14; -0.07; 23.75; 59.6; 100459; 3.9; -2.0; 0
07:25:22.540; ; ; ; ; 0.16; 354; 0.01; -0.14; -0.08; 23.75; 59.5; 100459; 4.0; -1.9; 0
07:25:22.740; ; ; ; ; 0.14; 4; -0.01; -0.13; -0.07; 23.76; 59.6; 100459; 3.9; -2.1; 0
07:25:22.950; 100284; 8.075; 27.44; 50.41; 0.18; 4; -0.01; -0.17; -0.07; 23.75; 59.6; 100459; 4.0; -2.0; 0
07:25:23.140; ; ; ; ; 0.16; 2; -0.01; -0.15; -0.07; 23.77; 59.4; 100459; 4.0; -2.0; 0
07:25:23.340; ; ; ; ; 0.16; 1; 0.0; -0.14; -0.07; 23.78; 59.5; 100459; 4.0; -2.0; 0
07:25:23.540; ; ; ; ; 0.14; 3; -0.01; -0.13; -0.05; 23.8; 59.4; 100459; 4.0; -2.0; 0
07:25:23.740; ; ; ; ; 0.16; 0; 0.0; -0.15; -0.07; 23.8; 59.4; 100457; 3.9; -2.1; 0
07:25:23.948; 100285; 7.982; 27.44; 48.99; 0.17; 1; 0.0; -0.16; -0.07; 23.76; 59.4; 100459; 3.9; -2.1; 0
07:25:24.140; ; ; ; ; 0.16; 359; 0.0; -0.14; -0.07; 23.75; 59.5; 100460; 3.9; -2.0; 0
07:25:24.340; ; ; ; ; 0.16; 4; -0.01; -0.14; -0.07; 23.75; 59.5; 100461; 3.9; -2.0; 0
07:25:24.540; ; ; ; ; 0.15; 0; 0.0; -0.13; -0.07; 23.77; 59.5; 100459; 3.9; -2.0; 0
07:25:24.740; ; ; ; ; 0.17; 2; 0.0; -0.14; -0.09; 23.78; 59.4; 100460; 3.9; -2.0; 0
07:25:24.952; 100285; 7.992; 27.46; 47.75; 0.13; 2; -0.01; -0.12; -0.06; 23.81; 59.4; 100460; 3.9; -2.0; 0
07:25:25.140; ; ; ; ; 0.14; 5; -0.01; -0.12; -0.07; 23.81; 59.4; 100460; 4.0; -2.0; 0
07:25:25.340; ; ; ; ; 0.14; 1; 0.0; -0.12; -0.07; 23.84; 59.2; 100459; 4.0; -2.0; 0
07:25:25.540; ; ; ; ; 0.18; 4; -0.01; -0.13; -0.12; 23.84; 59.2; 100460; 3.9; -2.0; 0
07:25:25.740; ; ; ; ; 0.15; 0; 0.0; -0.13; -0.08; 23.82; 59.3; 100458; 3.9; -2.0; 0
07:25:25.948; 100286; 8.032; 27.43; 46.69; 0.13; 358; 0.0; -0.12; -0.06; 23.84; 59.3; 100459; 3.9; -2.0; 0
07:25:26.140; ; ; ; ; 0.16; 5; -0.01; -0.13; -0.09; 23.84; 59.3; 100459; 3.9; -2.0; 0
07:25:26.340; ; ; ; ; 0.16; 4; -0.01; -0.13; -0.08; 23.84; 59.3; 100459; 3.9; -2.0; 0
07:25:26.540; ; ; ; ; 0.18; 1; 0.0; -0.15; -0.11; 23.83; 59.3; 100459; 3.9; -2.0; 0
07:25:26.740; ; ; ; ; 0.17; 1; 0.0; -0.14; -0.1; 23.82; 59.3; 100460; 4.0; -2.0; 0
07:25:26.953; 100286; 8.076; 27.46; 45.87; 0.16; 349; 0.03; -0.13; -0.08; 23.79; 59.5; 100459; 3.9; -2.0; 0
07:25:27.140; ; ; ; ; 0.14; 355; 0.01; -0.12; -0.08; 23.8; 59.5; 100460; 3.9; -2.0; 0
07:25:27.340; ; ; ; ; 0.15; 351; 0.02; -0.13; -0.08; 23.83; 59.3; 100459; 3.9; -2.0; 0
07:25:27.540; ; ; ; ; 0.14; 360; 0.0; -0.12; -0.07; 23.87; 59.1; 100460; 3.9; -2.0; 0
07:25:27.740; ; ; ; ; 0.12; 357; 0.01; -0.1; -0.06; 23.88; 59.1; 100460; 3.9; -2.0; 0
07:25:27.948; 100288; 8.006; 27.47; 45.2; 0.14; 5; -0.01; -0.12; -0.06; 23.9; 59.0; 100459; 3.9; -2.0; 0
07:25:28.140; ; ; ; ; 0.17; 3; -0.01; -0.15; -0.08; 23.87; 59.1; 100460; 3.9; -2.0; 0
07:25:28.340; ; ; ; ; 0.16; 9; -0.02; -0.14; -0.06; 23.83; 59.3; 100459; 3.9; -1.9; 0
07:25:28.540; ; ; ; ; 0.17; 3; -0.01; -0.15; -0.08; 23.85; 59.2; 100460; 3.8; -1.9; 0
07:25:28.740; ; ; ; ; 0.19; 2; -0.01; -0.17; -0.08; 23.84; 59.2; 100460; 4.0; -2.1; 0
