# Sparvio 1.5.0 log file. Logging started at 13:23:30.420 UTC.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.007
# C (id=3): 
#   Serial number; 1851030050
#   App and version; 18; 2.006

Time (UTC); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh; C.wspd; C.wdir; C.windU; C.windV; C.windW; C.temp; C.rh; C.pr; C.pitch; C.roll; C.heading
13:23:30.420; 100789; 7.457; 24.71; 18.28; 0.12; 59; -0.09; -0.05; 0.07; 20.31; 37.6; 100966; 19.9; -19.1; 39
13:23:30.544; ; ; ; ; 0.11; 49; -0.07; -0.06; 0.06; 20.31; 37.5; 100963; 19.9; -19.1; 39
13:23:30.716; ; ; ; ; 0.14; 57; -0.09; -0.06; 0.09; 20.33; 37.5; 100965; 19.9; -19.1; 39
13:23:30.916; 100790; 7.416; 24.73; 18.4; 0.1; 44; -0.06; -0.06; 0.05; 20.33; 37.6; 100964; 19.9; -19.1; 39
13:23:31.116; ; ; ; ; 0.1; 51; -0.06; -0.05; 0.06; 20.32; 37.6; 100965; 19.9; -19.1; 39
13:23:31.316; ; ; ; ; 0.12; 56; -0.09; -0.06; 0.05; 20.31; 37.5; 100967; 19.8; -19.1; 39
13:23:31.516; ; ; ; ; 0.12; 47; -0.07; -0.07; 0.07; 20.33; 37.5; 100963; 19.9; -19.1; 39
13:23:31.716; ; ; ; ; 0.11; 46; -0.07; -0.07; 0.06; 20.33; 37.5; 100964; 19.8; -19.1; 39
13:23:31.918; 100790; 7.473; 24.73; 18.48; 0.1; 52; -0.07; -0.06; 0.05; 20.31; 37.5; 100963; 19.9; -19.1; 39
13:23:32.116; ; ; ; ; 0.12; 52; -0.09; -0.07; 0.06; 20.32; 37.6; 100964; 19.9; -19.1; 39
13:23:32.316; ; ; ; ; 0.1; 50; -0.06; -0.05; 0.05; 20.33; 37.5; 100965; 19.9; -19.1; 39
13:23:32.516; ; ; ; ; 0.11; 53; -0.07; -0.05; 0.07; 20.32; 37.6; 100965; 19.9; -19.1; 39
13:23:32.716; ; ; ; ; 0.1; 30; -0.04; -0.07; 0.07; 20.32; 37.5; 100965; 19.9; -19.1; 39
13:23:32.916; 100791; 7.444; 24.74; 18.48; 0.1; 57; -0.07; -0.04; 0.06; 20.3; 37.7; 100963; 19.9; -19.1; 39
13:23:33.116; ; ; ; ; 0.11; 51; -0.07; -0.06; 0.05; 20.28; 37.7; 100964; 19.9; -19.1; 39
13:23:33.316; ; ; ; ; 0.12; 50; -0.07; -0.06; 0.08; 20.26; 37.7; 100964; 19.9; -19.1; 39
13:23:33.515; ; ; ; ; 0.11; 55; -0.07; -0.05; 0.07; 20.24; 37.8; 100965; 19.9; -19.0; 39
13:23:33.716; ; ; ; ; 0.09; 61; -0.07; -0.04; 0.05; 20.22; 37.8; 100965; 19.9; -19.1; 39
13:23:33.917; 100791; 7.407; 24.77; 18.55; 0.11; 48; -0.07; -0.06; 0.06; 20.21; 37.8; 100964; 19.9; -19.1; 39
13:23:34.116; ; ; ; ; 0.1; 55; -0.07; -0.05; 0.05; 20.17; 37.9; 100964; 19.9; -19.1; 39
13:23:34.316; ; ; ; ; 0.12; 60; -0.09; -0.05; 0.07; 20.17; 37.9; 100964; 20.0; -19.1; 39
13:23:34.516; ; ; ; ; 0.1; 54; -0.07; -0.05; 0.05; 20.17; 38.0; 100964; 19.9; -19.1; 39
13:23:34.716; ; ; ; ; 0.12; 54; -0.09; -0.07; 0.04; 20.17; 37.9; 100964; 19.9; -19.1; 39
13:23:34.916; 100791; 7.44; 24.77; 18.5; 0.12; 50; -0.08; -0.06; 0.07; 20.19; 37.9; 100964; 19.9; -19.1; 39
13:23:35.115; ; ; ; ; 0.12; 54; -0.08; -0.06; 0.07; 20.19; 37.9; 100964; 19.9; -19.1; 39
