# Sparvio 1.5.0 log file. Logging started at 12:01:19.170 UTC.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.008

Time (UTC); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh
12:01:19.170; 100377; 7.183; 26.71; 54.15
12:01:19.984; 100376; 7.192; 26.78; 54.23
12:01:20.984; 100378; 7.215; 26.82; 54.17
12:01:21.984; 100374; 7.133; 26.84; 54.12
12:01:22.984; 100374; 7.161; 26.89; 54.02
12:01:23.984; 100375; 7.158; 26.89; 53.67
12:01:24.984; 100374; 7.153; 26.91; 53.21
12:01:25.984; 100372; 7.149; 26.91; 52.77
12:01:26.984; 100371; 7.177; 26.91; 52.28
12:01:27.984; 100369; 7.132; 26.88; 51.81
12:01:28.984; 100369; 7.183; 26.89; 51.49
12:01:29.984; 100371; 7.139; 26.85; 51.31
12:01:30.984; 100372; 7.172; 26.82; 51.24
12:01:31.984; 100374; 7.222; 26.82; 51.07
12:01:32.984; 100370; 7.125; 26.89; 52.1
12:01:33.984; 100370; 7.144; 26.94; 53.28
12:01:34.984; 100372; 7.2; 26.99; 53.83
12:01:35.984; 100372; 7.201; 27.02; 54.06
12:01:36.984; 100371; 7.222; 27.06; 54.27
12:01:37.984; 100372; 7.181; 27.09; 53.97
12:01:38.984; 100376; 7.18; 27.13; 53.46
12:01:39.984; 100393; 7.175; 27.13; 53.11
12:01:40.984; 100368; 7.204; 27.15; 52.93
12:01:41.984; 100370; 7.158; 27.18; 52.85
12:01:42.985; 100375; 7.153; 27.19; 52.77
12:01:43.984; 100367; 7.163; 27.22; 52.77
12:01:44.985; 100368; 7.137; 27.23; 52.65
12:01:45.985; 100370; 7.215; 27.26; 52.63
12:01:46.985; 100372; 7.165; 27.25; 52.57
12:01:47.985; 100373; 7.124; 27.23; 52.55
12:01:48.985; 100374; 7.206; 27.26; 52.46
12:01:49.985; 100374; 7.157; 27.28; 52.52
12:01:50.985; 100372; 7.127; 27.25; 52.46
12:01:51.985; 100373; 7.179; 27.28; 52.45
12:01:52.985; 100372; 7.175; 27.26; 52.43
12:01:53.984; 100373; 7.17; 27.26; 52.41
12:01:54.984; 100372; 7.143; 27.25; 52.42
12:01:55.984; 100374; 7.182; 27.25; 52.35
12:01:56.984; 100375; 7.171; 27.25; 52.4
12:01:57.984; 100374; 7.186; 27.25; 52.4
12:01:58.984; 100374; 7.185; 27.25; 52.46
12:01:59.984; 100374; 7.159; 27.28; 52.39
12:02:00.984; 100371; 7.175; 27.22; 52.37
12:02:01.984; 100372; 7.214; 27.21; 52.38
12:02:02.984; 100372; 7.158; 27.21; 52.41
12:02:03.984; 100371; 7.161; 27.21; 52.4
12:02:04.984; 100371; 7.206; 27.18; 52.39
12:02:05.984; 100371; 7.149; 27.16; 52.42
12:02:06.984; 100370; 7.138; 27.18; 52.42
12:02:07.984; 100371; 7.159; 27.13; 52.48
12:02:08.984; 100369; 7.157; 27.12; 52.47
12:02:09.985; 100369; 7.178; 27.12; 52.45
12:02:10.984; 100370; 7.122; 27.15; 52.51
12:02:11.984; 100370; 7.167; 27.12; 52.48
12:02:12.984; 100369; 7.185; 27.09; 52.55
12:02:13.984; 100371; 7.173; 27.09; 52.59
12:02:14.984; 100371; 7.163; 27.08; 52.61
12:02:15.984; 100374; 7.123; 27.05; 52.64
12:02:16.984; 100372; 7.14; 27.05; 52.65
12:02:17.984; 100371; 7.142; 27.05; 52.67
12:02:18.984; 100373; 7.144; 27.02; 52.71
12:02:19.984; 100373; 7.13; 27.02; 52.69
12:02:20.984; 100372; 7.159; 26.99; 52.75
12:02:21.984; 100371; 7.158; 26.98; 52.78
12:02:22.984; 100373; 7.171; 26.98; 52.83
12:02:23.984; 100373; 7.16; 26.95; 52.84
12:02:24.984; 100373; 7.151; 26.96; 52.86
12:02:25.984; 100374; 7.133; 26.94; 52.86
12:02:26.984; 100373; 7.176; 26.94; 52.94
12:02:27.984; 100373; 7.126; 26.89; 52.98
12:02:28.984; 100372; 7.19; 26.89; 53.02
12:02:29.984; 100372; 7.136; 26.88; 53.07
12:02:30.984; 100372; 7.127; 26.84; 53.03
12:02:31.984; 100372; 7.149; 26.84; 53.09
12:02:32.984; 100373; 7.24; 26.85; 53.11
12:02:33.984; 100372; 7.152; 26.82; 53.09
12:02:34.984; 100372; 7.148; 26.82; 53.17
12:02:35.984; 100372; 7.199; 26.81; 53.2
12:02:36.984; 100371; 7.157; 26.81; 53.22
12:02:37.985; 100371; 7.113; 26.78; 53.24
12:02:38.985; 100371; 7.152; 26.75; 53.32
12:02:39.985; 100372; 7.146; 26.77; 53.28
12:02:40.984; 100371; 7.178; 26.73; 53.4
12:02:41.985; 100371; 7.153; 26.71; 53.43
12:02:42.986; 100370; 7.138; 26.7; 53.44
12:02:45.100; 100369; 7.187; 26.68; 53.47
12:02:46.243; 100368; 7.126; 26.68; 53.54
12:02:47.244; 100368; 7.175; 26.67; 53.55
12:02:48.243; 100368; 7.173; 26.67; 53.63
12:02:49.243; 100366; 7.174; 26.67; 53.64
12:02:50.243; 100367; 7.191; 26.64; 53.65
12:02:51.243; 100368; 7.17; 26.63; 53.7
12:02:52.245; 100366; 7.165; 26.59; 53.76
12:02:53.243; 100367; 7.17; 26.61; 53.76
12:02:54.243; 100367; 7.172; 26.6; 53.81
12:02:55.243; 100369; 7.177; 26.59; 53.85
12:02:56.243; 100369; 7.167; 26.55; 53.87
12:02:57.243; 100369; 7.132; 26.54; 53.93
12:02:58.243; 100368; 7.119; 26.53; 53.93
12:02:59.243; 100369; 7.152; 26.54; 54.01
12:03:00.243; 100369; 7.138; 26.54; 54.04
12:03:01.243; 100370; 7.145; 26.51; 54.03
12:03:02.243; 100370; 7.169; 26.49; 54.11
12:03:03.243; 100370; 7.19; 26.5; 54.12
12:03:04.244; 100369; 7.169; 26.49; 54.17
12:03:05.243; 100370; 7.087; 26.49; 54.18
12:03:06.243; 100371; 7.113; 26.49; 54.19
12:03:07.243; 100370; 7.091; 26.46; 54.27
12:03:08.243; 100370; 7.14; 26.42; 54.22
12:03:09.243; 100369; 7.144; 26.43; 54.29
12:03:10.243; 100370; 7.14; 26.43; 54.33
12:03:11.243; 100370; 7.153; 26.44; 54.36
12:03:12.243; 100370; 7.173; 26.42; 54.43
12:03:13.243; 100369; 7.108; 26.39; 54.43
12:03:14.243; 100370; 7.139; 26.4; 54.45
12:03:15.243; 100371; 7.189; 26.37; 54.51
12:03:16.316; 100371; 7.14; 26.34; 54.51
12:03:17.316; 100371; 7.115; 26.34; 54.53
