# Sparvio 1.5.0 log file. Logging started at 15:27:28.520 UTC.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.008
# C (id=3): 
#   Serial number; 1851030050
#   App and version; 18; 2.007

Time (UTC); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh; C.wspd; C.wdir; C.windU; C.windV; C.windW; C.temp; C.rh; C.pr; C.pitch; C.roll; C.heading
15:27:28.520; 100301; 7.498; 22.83; 28.14; 0.12; 320; 0.07; -0.08; -0.06; 21.64; 31.6; 100489; 4.4; -4.0; 0
15:27:28.604; ; ; ; ; 0.12; 320; 0.07; -0.08; -0.06; 21.64; 31.6; 100489; 4.4; -4.0; 0
15:27:28.740; ; ; ; ; 0.15; 315; 0.08; -0.08; -0.09; 21.64; 31.6; 100490; 3.2; -3.1; 0
15:27:28.940; 100303; 7.482; 22.82; 28.5; 0.15; 319; 0.07; -0.09; -0.1; 21.69; 31.4; 100490; 3.9; -4.2; 0
15:27:29.139; ; ; ; ; 0.16; 342; 0.03; -0.1; -0.12; 21.7; 31.5; 100489; 3.5; -3.6; 0
15:27:29.337; ; ; ; ; 0.15; 339; 0.04; -0.1; -0.1; 21.68; 31.5; 100489; 3.6; -3.3; 0
15:27:29.547; ; ; ; ; 0.12; 339; 0.02; -0.06; -0.1; 21.63; 31.6; 100490; 4.0; -3.3; 0
15:27:29.737; ; ; ; ; 0.11; 304; 0.04; -0.02; -0.1; 21.6; 31.7; 100489; 4.2; -3.7; 0
15:27:29.937; 100302; 7.519; 22.82; 28.9; 0.1; 347; 0.01; -0.05; -0.09; 21.56; 31.8; 100490; 3.4; -3.1; 0
15:27:30.139; ; ; ; ; 0.11; 355; 0.01; -0.06; -0.09; 21.54; 31.9; 100490; 3.7; -3.6; 0
15:27:30.337; ; ; ; ; 0.12; 350; 0.01; -0.08; -0.1; 21.54; 31.9; 100489; 3.9; -3.5; 0
15:27:30.547; ; ; ; ; 0.1; 347; 0.01; -0.05; -0.09; 21.55; 31.8; 100489; 4.0; -4.6; 0
15:27:30.737; ; ; ; ; 0.12; 349; 0.02; -0.08; -0.09; 21.55; 31.8; 100489; 3.4; -3.0; 0
15:27:30.939; 100298; 7.469; 22.82; 29.59; 0.09; 358; 0.0; -0.05; -0.07; 21.56; 31.9; 100489; 3.4; -3.4; 0
15:27:31.139; ; ; ; ; 0.1; 9; -0.01; -0.06; -0.07; 21.54; 31.9; 100489; 4.3; -3.6; 0
15:27:31.336; ; ; ; ; 0.11; 359; 0.0; -0.04; -0.11; 21.54; 31.9; 100489; 3.5; -4.1; 0
15:27:31.548; ; ; ; ; 0.12; 351; 0.01; -0.07; -0.09; 21.53; 31.9; 100489; 3.8; -3.0; 0
15:27:31.736; ; ; ; ; 0.08; 323; 0.01; -0.01; -0.08; 21.54; 31.9; 100490; 3.5; -3.9; 0
