Date,Time,TempOut,HiTemp,LowTemp,OutHum,DewPt,WindSpeed,WindDir,WindRun,HiSpeed,HiDir,WindChill,HeatIndex,THWIndex,THSWIndex,Bar  ,Rain,RainRate,SolarRad,SolarEnergy,HiSolarRad ,UVIndex,UVDose,HiUV ,HeatDD ,CoolDD,InTemp,InHum,InDew,InHeat,InEMC,InAirDensity,ET ,WindSamp,WindTx ,ISSRecept,ArcInt
25/05/23,10:25,20.2,20.2,20.1,68,14.1,2.2,ESE,0.13,3.1,SE,20.2,20.3,20.3,---,1005.5,0,0,671,0.96,671,3.8,0.03,3.8,0,0.001,21.7,58,13,21.3,10.71,1.1711,0,20,1,87,1
25/05/23,10:26,20.2,20.2,20.2,68,14.1,1.3,SE,0.08,2.2,SSE,20.2,20.3,20.3,---,1005.6,0,0,186,0.27,186,2.7,0.02,2.7,0,0.001,21.7,58,13.1,21.4,10.71,1.1709,0,23,1,100,1
25/05/23,10:27,20.3,20.3,20.2,68,14.2,1.8,SE,0.11,3.1,SE,20.3,20.4,20.4,---,1005.6,0,0,214,0.31,214,2.5,0.02,2.5,0,0.001,21.8,58,13.1,21.5,10.7,1.1706,0,23,1,100,1
25/05/23,10:28,20.3,20.3,20.2,68,14.2,0.9,SE,0.05,1.8,ESE,20.3,20.4,20.4,---,1005.6,0,0,301,0.43,301,2.8,0.02,2.8,0,0.001,21.8,58,13.2,21.6,10.7,1.1703,0,24,1,100,1
25/05/23,10:29,20.2,20.3,20.2,68,14.1,0.9,WSW,0.05,2.2,E,20.2,20.3,20.3,---,1005.6,0,0,348,0.5,348,3,0.02,3,0,0.001,21.8,58,13.2,21.6,10.7,1.1703,0,23,1,100,1
25/05/23,10:30,20.3,20.3,20.2,68,14.2,0.4,NE,0.03,0.9,SSE,20.3,20.4,20.4,---,1005.6,0,0,330,0.47,330,2.9,0.02,2.9,0,0.001,21.8,58,13.2,21.6,10.7,1.1703,0,22,1,95.7,1
25/05/23,10:31,20.3,20.3,20.3,69,14.4,0.9,S,0.05,1.8,S,20.3,20.4,20.4,---,1005.7,0,0,264,0.38,264,2.9,0.02,2.9,0,0.001,21.8,58,13.2,21.6,10.7,1.1704,0,22,1,95.7,1
25/05/23,10:32,20.3,20.3,20.3,68,14.2,1.3,ESE,0.08,2.2,S,20.3,20.4,20.4,---,1005.7,0,0,257,0.37,264,2.6,0.02,2.6,0,0.001,21.8,58,13.2,21.6,10.7,1.1704,0,19,1,82.6,1
25/05/23,10:33,20.3,20.3,20.3,68,14.2,2.2,SE,0.13,3.6,E,20.3,20.4,20.4,---,1005.7,0,0,339,0.49,339,3,0.02,3.3,0,0.001,21.9,58,13.3,21.6,10.69,1.1701,0,22,1,95.7,1
25/05/23,10:34,20.3,20.3,20.3,68,14.2,2.2,SE,0.13,4,SE,20.3,20.4,20.4,---,1005.7,0,0,339,0.49,339,3.8,0.03,3.8,0,0.001,21.9,58,13.3,21.6,10.69,1.1701,0,23,1,100,1
25/05/23,10:35,20.3,20.3,20.3,67,13.9,3.6,ESE,0.21,4.9,SE,19.9,20.3,19.9,---,1005.7,0,0,339,0.49,339,2.7,0.02,2.7,0,0.001,21.9,58,13.3,21.6,10.69,1.1702,0,21,1,91.3,1
25/05/23,10:36,20.2,20.3,20.2,67,13.9,2.2,SE,0.13,3.6,SE,20.2,20.3,20.3,---,1005.7,0,0,248,0.36,248,2.4,0.02,2.4,0,0.001,21.9,58,13.3,21.6,10.69,1.1702,0,23,1,100,1
25/05/23,10:37,20.2,20.2,20.2,67,13.9,1.3,SE,0.08,2.2,SSE,20.2,20.3,20.3,---,1005.8,0,0,241,0.35,241,2.3,0.02,2.3,0,0.001,21.9,58,13.3,21.7,10.69,1.17,0,23,1,100,1
25/05/23,10:38,20.2,20.2,20.2,67,13.9,1.8,ESE,0.11,3.1,ESE,20.2,20.3,20.3,---,1005.9,0,0,250,0.36,255,2.3,0.02,2.3,0,0.001,21.9,58,13.3,21.7,10.69,1.1701,0,24,1,100,1
25/05/23,10:39,20.2,20.2,20.2,67,13.9,2.2,ESE,0.13,4.5,SE,20.2,20.3,20.3,---,1005.9,0,0,271,0.39,271,2.3,0.02,2.3,0,0.001,21.9,58,13.3,21.7,10.69,1.1701,0,23,1,100,1
25/05/23,10:40,20.2,20.2,20.2,67,13.8,2.7,SE,0.16,4.9,ESE,20.2,20.2,20.2,---,1005.8,0,0,276,0.4,276,2.3,0.02,2.3,0,0.001,22,58,13.4,21.8,10.69,1.1697,0,24,1,100,1
