# Sparvio 1.5.0 log file. Unknown start time.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.008
# C (id=3): 
#   Serial number; 1851030050
#   App and version; 18; 2.007

Relative time (sec); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh
0.000; 99649; 7.559; 25.03; 54.07
0.808; 99647; 7.524; 25.02; 54.0
1.808; 99645; 7.479; 25.02; 54.03
2.808; 99646; 7.486; 25.01; 54.13
3.808; 99646; 7.477; 25.05; 54.22
4.808; 99648; 7.482; 25.02; 54.23
5.808; 99647; 7.486; 25.06; 54.28
6.808; 99647; 7.526; 25.06; 54.25
7.808; 99648; 7.493; 25.05; 54.18
8.808; 99647; 7.503; 25.08; 54.23
9.808; 99648; 7.513; 25.06; 54.27
10.808; 99648; 7.484; 25.06; 54.39
11.808; 99649; 7.479; 25.08; 54.38
12.808; 99648; 7.476; 25.08; 54.34
13.808; 99649; 7.496; 25.09; 54.28
14.808; 99649; 7.503; 25.09; 54.25
15.808; 99649; 7.499; 25.1; 54.26
16.808; 99648; 7.51; 25.1; 54.22
17.808; 99648; 7.5; 25.1; 54.1
18.808; 99650; 7.542; 25.13; 54.11
19.809; 99649; 7.561; 25.13; 54.11
20.808; 99648; 7.555; 25.13; 54.09
21.808; 99650; 7.52; 25.16; 54.1
22.808; 99650; 7.505; 25.18; 54.1
23.808; 99651; 7.493; 25.18; 54.05
24.808; 99652; 7.482; 25.19; 54.08
25.808; 99652; 7.501; 25.18; 54.01
26.808; 99649; 7.514; 25.18; 53.96
27.810; 99649; 7.517; 25.18; 53.86
28.808; 99649; 7.505; 25.19; 53.77
29.809; 99649; 7.517; 25.19; 53.7
30.809; 99651; 7.492; 25.19; 53.67
31.809; 99649; 7.484; 25.2; 53.59
32.809; 99649; 7.51; 25.23; 53.52
33.808; 99647; 7.525; 25.23; 53.45
34.809; 99648; 7.517; 25.25; 53.49
35.809; 99648; 7.516; 25.26; 53.57
36.810; 99647; 7.51; 25.26; 53.74
37.809; 99649; 7.507; 25.29; 54.01
38.809; 99649; 7.503; 25.3; 54.56
39.809; 99651; 7.512; 25.32; 55.3
40.809; 99649; 7.521; 25.36; 56.25
41.815; 99652; 7.504; 25.38; 57.14
42.812; 99650; 7.497; 25.36; 57.65
43.812; 99651; 7.5; 25.37; 57.86
44.814; 99649; 7.502; 25.38; 57.9
45.808; 99649; 7.512; 25.36; 57.83
46.808; 99650; 7.519; 25.43; 57.59
47.808; 99649; 7.488; 25.4; 57.34
48.808; 99648; 7.504; 25.41; 57.38
49.808; 99649; 7.535; 25.46; 57.91
50.808; 99649; 7.521; 25.46; 58.59
51.808; 99649; 7.496; 25.46; 59.29
52.808; 99650; 7.515; 25.47; 59.66
53.809; 99649; 7.509; 25.48; 59.6
54.809; 99648; 7.504; 25.48; 59.31
55.808; 99647; 7.5; 25.5; 59.12
56.808; 99647; 7.501; 25.54; 59.02
57.808; 99645; 7.503; 25.53; 59.22
58.808; 99644; 7.495; 25.53; 59.42
59.809; 99644; 7.413; 25.53; 59.56
60.808; 99641; 7.456; 25.55; 59.72
61.808; 99640; 7.457; 25.57; 59.84
62.808; 99644; 7.455; 25.59; 59.97
63.808; 99645; 7.435; 25.57; 60.08
64.808; 99644; 7.354; 25.57; 59.82
65.808; 99644; 7.407; 25.59; 59.38
66.808; 99644; 7.467; 25.57; 58.88
67.808; 99643; 7.361; 25.57; 58.29
68.808; 99644; 7.437; 25.57; 57.93
69.808; 99643; 7.382; 25.59; 57.75
70.808; 99645; 7.487; 25.59; 57.64
71.808; 99644; 7.459; 25.59; 57.32
72.808; 99645; 7.375; 25.59; 56.95
73.809; 99646; 7.39; 25.59; 56.58
74.808; 99645; 7.427; 25.59; 56.26
75.808; 99647; 7.408; 25.57; 55.99
76.808; 99647; 6.67; 25.61; 55.96
