# Sparvio 1.5.0 log file. Unknown start time.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.008
# C (id=3): 
#   Serial number; 1851030050
#   App and version; 18; 2.007

Relative time (sec); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh; C.wspd; C.wdir; C.windU; C.windV; C.windW; C.temp; C.rh; C.pr; C.pitch; C.roll; C.heading
0.000; 100200; 8.19; 22.02; 59.99; 0.11; 298; 0.07; -0.04; -0.08; 20.74; 63.1; 100374; 4.6; -1.4; 0
0.126; ; ; ; ; 0.1; 264; 0.09; 0.01; -0.05; 20.83; 62.8; 100373; 2.9; -1.2; 0
0.324; 100198; 8.187; 22.0; 60.03; 0.12; 281; 0.1; -0.02; -0.06; 20.92; 62.4; 100374; 4.5; -1.2; 0
0.524; ; ; ; ; 0.11; 297; 0.06; -0.03; -0.08; 20.94; 62.4; 100374; 4.3; -1.0; 0
0.724; ; ; ; ; 0.13; 311; 0.07; -0.06; -0.09; 20.93; 62.5; 100375; 4.1; -1.4; 0
0.926; ; ; ; ; 0.1; 332; 0.02; -0.04; -0.09; 20.94; 62.3; 100373; 4.1; -1.2; 0
1.124; ; ; ; ; 0.09; 219; 0.02; 0.02; -0.08; 20.91; 62.5; 100373; 4.1; -1.4; 0
1.326; 100198; 8.189; 22.02; 60.14; 0.1; 190; 0.01; 0.06; -0.08; 20.86; 62.7; 100372; 4.1; -1.2; 0
1.524; ; ; ; ; 0.08; 184; 0.0; 0.02; -0.07; 20.81; 62.9; 100374; 4.1; -1.3; 0
1.724; ; ; ; ; 0.09; 241; 0.02; 0.01; -0.08; 20.8; 63.0; 100373; 4.1; -1.2; 0
1.926; ; ; ; ; 0.07; 261; 0.03; 0.01; -0.06; 20.75; 63.2; 100374; 4.1; -1.3; 0
2.124; ; ; ; ; 0.07; 274; 0.03; 0.0; -0.06; 20.75; 63.1; 100374; 4.1; -1.3; 0
2.324; 100197; 8.194; 22.02; 60.18; 0.11; 195; 0.01; 0.02; -0.11; 20.72; 63.3; 100374; 4.0; -1.2; 0
2.524; ; ; ; ; 0.13; 195; 0.02; 0.08; -0.1; 20.72; 63.2; 100373; 4.1; -1.3; 0
2.724; ; ; ; ; 0.1; 191; 0.01; 0.05; -0.08; 20.74; 63.2; 100374; 4.0; -1.2; 0
2.926; ; ; ; ; 0.13; 202; 0.03; 0.07; -0.11; 20.82; 62.9; 100374; 4.1; -1.3; 0
3.124; ; ; ; ; 0.11; 189; 0.01; 0.05; -0.1; 20.93; 62.5; 100373; 4.1; -1.3; 0
3.326; 100199; 8.209; 22.02; 60.18; 0.08; 231; 0.04; 0.03; -0.06; 20.93; 62.5; 100374; 4.1; -1.3; 0
3.524; ; ; ; ; 0.07; 252; 0.03; 0.01; -0.06; 20.87; 62.8; 100374; 4.1; -1.3; 0
3.724; ; ; ; ; 0.08; 248; 0.03; 0.01; -0.07; 20.77; 63.1; 100375; 4.0; -1.3; 0
3.925; ; ; ; ; 0.07; 335; 0.0; -0.01; -0.07; 20.72; 63.4; 100374; 4.1; -1.3; 0
4.124; ; ; ; ; 0.09; 189; 0.01; 0.03; -0.08; 20.69; 63.5; 100374; 4.1; -1.3; 0
4.324; 100199; 8.201; 22.0; 60.2; 0.08; 326; 0.01; -0.01; -0.07; 20.69; 63.6; 100373; 4.1; -1.3; 0
4.526; ; ; ; ; 0.08; 301; 0.03; -0.02; -0.08; 20.71; 63.5; 100374; 4.1; -1.3; 0
4.724; ; ; ; ; 0.08; 268; 0.02; 0.0; -0.08; 20.71; 63.4; 100375; 4.1; -1.3; 0
4.924; ; ; ; ; 0.08; 286; 0.04; -0.01; -0.07; 20.67; 63.6; 100374; 4.1; -1.3; 0
5.124; ; ; ; ; 0.07; 296; 0.03; -0.02; -0.06; 20.66; 63.7; 100373; 4.1; -1.3; 0
5.326; 100199; 8.206; 22.03; 60.25; 0.09; 284; 0.05; -0.01; -0.07; 20.64; 63.7; 100374; 4.1; -1.3; 0
5.525; ; ; ; ; 0.1; 276; 0.07; -0.01; -0.07; 20.68; 63.5; 100374; 4.1; -1.3; 0
5.724; ; ; ; ; 0.11; 292; 0.07; -0.03; -0.08; 20.76; 63.3; 100374; 4.2; -1.2; 0
5.926; ; ; ; ; 0.11; 312; 0.05; -0.05; -0.09; 20.78; 63.3; 100374; 3.8; -1.2; 0
6.124; ; ; ; ; 0.12; 281; 0.09; -0.02; -0.07; 20.85; 62.9; 100374; 3.1; -1.6; 0
6.324; 100198; 8.207; 22.03; 60.27; 0.12; 268; 0.1; 0.0; -0.07; 20.85; 63.0; 100374; 4.1; -0.3; 0
6.524; ; ; ; ; 0.11; 283; 0.07; -0.02; -0.08; 20.83; 63.1; 100374; 4.1; -0.9; 0
6.724; ; ; ; ; 0.11; 295; 0.08; -0.04; -0.08; 20.83; 63.1; 100373; 4.6; -1.7; 0
6.925; ; ; ; ; 0.09; 265; 0.05; 0.0; -0.08; 20.84; 63.0; 100374; 4.0; -0.8; 0
7.124; ; ; ; ; 0.09; 307; 0.03; -0.03; -0.08; 20.85; 63.0; 100375; 4.0; -1.6; 0
7.326; 100199; 8.194; 22.02; 60.22; 0.11; 357; 0.0; -0.02; -0.1; 20.91; 62.7; 100375; 4.4; -1.6; 0
7.524; ; ; ; ; 0.12; 350; 0.01; -0.06; -0.1; 20.95; 62.6; 100374; 4.1; -1.2; 0
7.724; ; ; ; ; 0.1; 2; 0.0; -0.03; -0.09; 21.07; 62.2; 100373; 4.4; -1.9; 0
7.925; ; ; ; ; 0.11; 321; 0.04; -0.05; -0.09; 21.05; 62.3; 100373; 4.9; -3.1; 0
8.124; ; ; ; ; 0.1; 14; -0.01; -0.06; -0.09; 20.96; 62.6; 100374; 3.3; -0.5; 0
8.324; 100200; 8.197; 22.03; 60.24; 0.09; 341; 0.02; -0.05; -0.07; 20.95; 62.7; 100375; 4.2; -1.2; 0
8.524; ; ; ; ; 0.11; 331; 0.04; -0.07; -0.08; 20.96; 62.5; 100373; 3.5; -1.5; 0
8.724; ; ; ; ; 0.09; 332; 0.01; -0.02; -0.09; 21.0; 62.6; 100374; 4.0; -0.9; 0
8.925; ; ; ; ; 0.09; 194; 0.01; 0.03; -0.08; 20.91; 62.8; 100374; 3.7; -1.3; 0
9.124; ; ; ; ; 0.12; 233; 0.05; 0.04; -0.1; 20.78; 63.3; 100373; 3.9; -1.9; 0
9.326; 100198; 8.196; 22.03; 60.21; 0.11; 200; 0.02; 0.05; -0.1; 20.75; 63.5; 100373; 2.9; -0.3; 0
9.524; ; ; ; ; 0.11; 3; 0.0; -0.05; -0.09; 20.77; 63.4; 100374; 4.8; -1.5; 0
9.724; ; ; ; ; 0.14; 349; 0.02; -0.07; -0.12; 20.84; 63.2; 100374; 3.9; -1.1; 0
9.925; ; ; ; ; 0.14; 354; 0.01; -0.08; -0.11; 20.94; 62.9; 100374; 3.6; -1.8; 0
10.123; ; ; ; ; 0.12; 346; 0.02; -0.06; -0.1; 20.94; 62.8; 100375; 2.7; -1.7; 0
10.324; 100198; 8.216; 22.03; 60.25; 0.12; 352; 0.01; -0.07; -0.09; 20.89; 63.0; 100373; 4.3; -1.2; 0
10.523; ; ; ; ; 0.12; 5; -0.01; -0.06; -0.1; 20.83; 63.3; 100375; 3.8; -0.5; 0
10.724; ; ; ; ; 0.11; 331; 0.02; -0.03; -0.1; 20.87; 63.0; 100373; 3.1; -1.4; 0
10.924; ; ; ; ; 0.15; 1; 0.0; -0.12; -0.1; 20.86; 63.2; 100374; 6.7; -1.3; 0
11.124; ; ; ; ; 0.09; 306; 0.03; -0.02; -0.08; 20.88; 63.2; 100374; 1.7; -1.6; 0
11.325; 100199; 8.202; 22.03; 60.18; 0.08; 328; 0.02; -0.04; -0.07; 20.85; 63.2; 100374; 3.6; -0.9; 0
11.524; ; ; ; ; 0.07; 332; 0.02; -0.03; -0.06; 20.87; 63.2; 100375; 4.7; -0.5; 0
11.724; ; ; ; ; 0.12; 200; 0.03; 0.08; -0.09; 20.81; 63.4; 100374; 2.4; -1.4; 0
11.924; ; ; ; ; 0.09; 194; 0.0; 0.01; -0.09; 20.85; 63.3; 100373; 5.3; -1.4; 0
12.124; ; ; ; ; 0.09; 311; 0.04; -0.04; -0.07; 20.84; 63.3; 100373; 3.7; -2.4; 0
12.324; 100199; 8.181; 22.04; 60.2; 0.09; 241; 0.03; 0.02; -0.08; 20.86; 63.4; 100374; 3.4; -0.4; 0
12.524; ; ; ; ; 0.08; 257; 0.03; 0.01; -0.07; 20.86; 63.5; 100374; 4.0; -1.5; 0
12.724; ; ; ; ; 0.1; 301; 0.05; -0.03; -0.08; 20.86; 63.4; 100373; 4.8; -1.1; 0
12.924; ; ; ; ; 0.09; 301; 0.04; -0.02; -0.08; 20.89; 63.2; 100372; 3.9; -1.6; 0
13.124; ; ; ; ; 0.11; 295; 0.07; -0.03; -0.07; 20.93; 63.1; 100374; 4.5; -1.1; 0
13.328; 100199; 8.198; 22.03; 60.18; 0.12; 268; 0.1; 0.0; -0.06; 20.97; 63.0; 100375; 3.8; -1.5; 0
13.527; ; ; ; ; 0.11; 270; 0.07; 0.0; -0.08; 21.02; 62.8; 100374; 4.1; -1.1; 0
13.723; ; ; ; ; 0.09; 304; 0.04; -0.03; -0.08; 21.03; 62.8; 100373; 4.0; -1.4; 0
13.924; ; ; ; ; 0.09; 297; 0.05; -0.03; -0.07; 21.02; 62.8; 100373; 4.2; -1.4; 0
14.123; ; ; ; ; 0.09; 241; 0.02; 0.01; -0.09; 20.96; 63.2; 100373; 3.9; -1.3; 0
14.323; 100199; 8.223; 22.03; 60.1; 0.12; 238; 0.07; 0.04; -0.09; 20.8; 63.8; 100373; 4.0; -1.4; 0
14.524; ; ; ; ; 0.13; 222; 0.06; 0.07; -0.09; 20.84; 63.7; 100373; 4.0; -1.2; 0
14.723; ; ; ; ; 0.1; 187; 0.01; 0.05; -0.09; 21.09; 62.6; 100374; 4.3; -1.3; 0
14.923; ; ; ; ; 0.09; 236; 0.05; 0.03; -0.06; 21.05; 62.8; 100373; 3.8; -1.4; 0
15.123; ; ; ; ; 0.1; 245; 0.06; 0.03; -0.08; 21.0; 63.1; 100373; 3.8; -0.8; 0
15.323; 100197; 8.19; 22.03; 60.06; 0.08; 31; -0.01; -0.01; -0.08; 20.88; 63.5; 100373; 4.2; -1.6; 0
15.526; ; ; ; ; 0.08; 326; 0.02; -0.03; -0.08; 20.82; 63.8; 100374; 4.1; -1.3; 0
15.723; ; ; ; ; 0.09; 166; 0.0; 0.01; -0.09; 20.71; 64.2; 100374; 4.4; -1.3; 0
15.923; ; ; ; ; 0.12; 203; 0.02; 0.05; -0.1; 20.63; 64.6; 100374; 3.8; -1.8; 0
